"Winter","Date","Canton","Community","Starting.zone","url","Elevation..m.","Aspect","Activity","Victims..caught..buried.","Danger..level","mon","Fatalities","deg","degjit","activity","lat","long"
"2014/15",2015-05-06,"GR","Lumnezia","Piz Stgir / Alp Diesrut","http://map.geo.admin.ch/?Y=721530&X=165830&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30",2630,"NE",1,"1 (1, 1)",NA,"May",1,45,41.942579831928,"Backcountry touring",46.6326538638179,9.02576687466036
"2014/15",2015-04-12,"VS","Mont-Noble","Pointes des Tsavolires","http://map.geo.admin.ch/?Y=605500&X=112390&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30",2980,"N",1,"2 (4, 4)",2,"April",2,0,3.24286227812991,"Backcountry touring",46.1629614502433,7.50984146262103
"2014/15",2015-04-04,"GR","Davos","Brämabüel","http://map.geo.admin.ch/?Y=783880&X=184490&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30",2260,"NE",2,"1 (1, 1)",3,"April",1,45,46.4420931423083,"Off-piste skiing/boarding",46.7861783843192,9.84708893399921
"2014/15",2015-03-28,"UR","Wassen","Chli Griessenhorn","http://map.geo.admin.ch/?Y=680275&X=175850&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30",2340,"NE",1,"1 (2, 2)",2,"March",1,45,48.9852467980236,"Backcountry touring",46.7290122435783,8.4888266299271
"2014/15",2015-03-28,"VS","Bourg-Saint-Pierre","Mont Vélan, couloir Hannibal","http://map.geo.admin.ch/?Y=584900&X=82450&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30",3500,"W",1,"1 (1, 0)",2,"March",1,270,269.083890667185,"Backcountry touring",45.8934931865493,7.2441098890002
"2014/15",2015-03-27,"VS","Evolène","Petit Col de Charmotane","http://map.geo.admin.ch/?Y=602523&X=92680&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30",3180,"SE",1,"1 (6, 2)",2,"March",1,135,137.066375171766,"Backcountry touring",45.9856787307426,7.4711947420786
"2014/15",2015-03-03,"GR","Samnaun","Piz Munschuns","http://map.geo.admin.ch/?Y=823610&X=206380&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30",2550,"N",2,"1 (1, 1)",3,"March",1,0,2.65874524088576,"Off-piste skiing/boarding",46.9707936695765,10.3777775728084
"2014/15",2015-02-21,"VS","Bourg-Saint-Pierre","Combe des Morts","http://map.geo.admin.ch/?Y=579580&X=79582&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30",2500,"N",1,"4 (5, 4)",2,"February",4,0,2.89808200811967,"Backcountry touring",45.867555566008,7.17569860077363
"2014/15",2015-02-10,"GR","Val Müstair","Piz Daint","http://map.geo.admin.ch/?Y=817368&X=167506&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30",2590,"SW",1,"1 (1, 1)",3,"February",1,225,220.810156315565,"Backcountry touring",46.6234106407198,10.2773071380934
"2014/15",2015-02-08,"VS","Staldenried","Gspon, Breiti","http://map.geo.admin.ch/?Y=636815&X=119280&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30",2320,"N",1,"1 (1, 1)",3,"February",1,0,5.78546387981623,"Backcountry touring",46.2239566599191,7.91578879517831
"2014/15",2015-02-02,"GR","Disentis / Mustér","Piz las Palas / Val Segnas","http://map.geo.admin.ch/?Y=703820&X=172900&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30",1970,"NE",2,"1 (1, 1)",3,"February",1,45,44.4848058233038,"Off-piste skiing/boarding",46.6992298508299,8.79612950422289
"2014/15",2015-01-31,"GR","Seewis im Prättigau","Vilan","http://map.geo.admin.ch/?Y=764710&X=209140&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30",2340,"E",1,"5 (8, 7)",3,"January",5,90,96.458664462436,"Backcountry touring",47.0128450945295,9.60505148777358
"2014/15",2015-01-31,"SG","Wildhaus-Alt St. Johann","Hinderrugg","http://map.geo.admin.ch/?Y=741408&X=224215&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30",2250,"W",2,"1 (1, 0)",3,"January",1,270,266.745743251871,"Off-piste skiing/boarding",47.1537835968616,9.30339729568788
"2014/15",2015-01-31,"BE","Adelboden","Rägeboldshore, I de Hellere","http://map.geo.admin.ch/?Y=605567&X=143973&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30",1980,"NW",2,"1 (1, 1)",3,"January",1,315,315.889992823359,"Off-piste skiing/boarding",46.4470687249639,7.51108625503647
"2014/15",2015-01-31,"BE","Lauterbrunnen","Chlys Schilthoren, Tistelwang","http://map.geo.admin.ch/?Y=631452&X=156214&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30",2380,"E",2,"1 (1, 1)",3,"January",1,90,91.6150826741941,"Off-piste skiing/boarding",46.5564678549871,7.84878295163622
"2014/15",2015-01-30,"BE","Adelboden","Hahnenmoospass","http://map.geo.admin.ch/?Y=604732&X=144872&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30",1875,"E",2,"1 (1, 1)",3,"January",1,90,84.9291959404945,"Off-piste skiing/boarding",46.4551621982926,7.5002287370523
"2014/15",2015-01-29,"SG","Amden","Gulme, Vorder Höhi","http://map.geo.admin.ch/?Y=733105&X=225687&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30",1550,"SE",1,"1 (1, 1)",3,"January",1,135,139.905581718311,"Backcountry touring",47.1687431765438,9.19437594097713
"2014/15",2015-01-29,"VS","Riddes","Col des Mines","http://map.geo.admin.ch/?Y=586075&X=106360&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30",2380,"N",2,"1 (5, 1)",3,"January",1,0,1.82820865698159,"Off-piste skiing/boarding",46.1085972384444,7.25854039528374
"2014/15",2015-01-18,"GR","St. Moritz","Piz Nair","http://map.geo.admin.ch/?Y=780400&X=153175&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30",2950,"SE",2,"1 (3, 2)",3,"January",1,135,140.385465272702,"Off-piste skiing/boarding",46.5055621504527,9.78924330277387
"2014/15",2015-01-06,"GR","Bivio","Piz díAgnel","http://map.geo.admin.ch/?Y=774050&X=153500&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30",3050,"S",1,"1 (1, 1)",3,"January",1,180,182.601887639612,"Backcountry touring",46.5101655949608,9.70667290527986
"2014/15",2015-01-04,"GR","Valsot","Heidelbergerspitze","http://map.geo.admin.ch/?Y=813430&X=199240&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30",2730,"ESE",1,"1 (2, 2)",3,"January",1,112.5,115.407076031901,"Backcountry touring",46.9099610294307,10.2407326959862
"2014/15",2015-01-04,"VS","Anniviers","Le Rotsé","http://map.geo.admin.ch/?Y=613725&X=120985&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30",2513,"NW",2,"1 (1, 1)",3,"January",1,315,311.771347732283,"Off-piste skiing/boarding",46.2401607801269,7.6165761308632
"2014/15",2014-12-20,"SG","Mels","Pizol","http://map.geo.admin.ch/?Y=748276&X=202734&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30",2820,"E",1,"1 (1, 1)",3,"December",1,90,92.4090759907849,"Backcountry touring",46.9591174139338,9.38689667337739
"2014/15",2014-12-08,"VS","Simplon","Böshorn / Rauthorn","http://map.geo.admin.ch/?Y=642750&X=116430&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30",3170,"SE",1,"1 (4, 0)",2,"December",1,135,131.568057843018,"Backcountry touring",46.1979692288781,7.9924480470246
"2014/15",2014-11-20,"NW","Emmetten","Oberbauenstock","http://map.geo.admin.ch/?Y=684266&X=198406&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30",1850,"NW",1,"1 (1, 0)",NA,"November",1,315,317.918592154514,"Backcountry touring",46.9313992905587,8.54519284685995
"2013/14",2014-08-04,"VS","Zermatt","Pointe de Zinal","http://map.geo.admin.ch/?Y=615001&X=96954&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30",3690,"S",1,"1 (1, 0)",NA,"August",1,180,183.330985954031,"Backcountry touring",46.0239632138966,7.63235012312431
"2013/14",2014-07-19,"VS","Anniviers","Pointes de Mourti","http://map.geo.admin.ch/?Y=611330&X=102467&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30",3460,"N",1,"2 (6, 4)",NA,"July",2,0,-4.8508066679351,"Backcountry touring",46.0736264796396,7.58507819453953
"2013/14",2014-07-19,"VS","Zermatt","Zinalrothorn","http://map.geo.admin.ch/?Y=619865&X=100645&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30",3760,"S",1,"2 (2, 1)",NA,"July",2,180,173.745224083774,"Backcountry touring",46.0570396695903,7.69531598333468
"2013/14",2014-03-17,"VS","Täsch","Unter Äschjoch","http://map.geo.admin.ch/?Y=621234&X=100900&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30",3570,"NE",2,"2 (3, 2)",1,"March",2,45,43.7551030823961,"Off-piste skiing/boarding",46.059291836621,7.71301641569328
