Winter,Date,Canton,Community,Starting.zone,url,Elevation..m.,Aspect,Activity,Victims..caught..buried.,Danger..level,mon,Fatalities,deg,degjit,activity,lat,long
2014/15,5/6/15,GR,Lumnezia,Piz Stgir / Alp Diesrut,http://map.geo.admin.ch/?Y=721530&X=165830&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2630,NE,1,"1 (1, 1)",NA,May,1,45,41.94257983,Backcountry touring,46.63265386,9.025766875
2014/15,4/12/15,VS,Mont-Noble,Pointes des Tsavolires,http://map.geo.admin.ch/?Y=605500&X=112390&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2980,N,1,"2 (4, 4)",2,April,2,0,3.242862278,Backcountry touring,46.16296145,7.509841463
2014/15,4/4/15,GR,Davos,Br_mabŸel,http://map.geo.admin.ch/?Y=783880&X=184490&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2260,NE,2,"1 (1, 1)",3,April,1,45,46.44209314,Off-piste skiing/boarding,46.78617838,9.847088934
2014/15,3/28/15,UR,Wassen,Chli Griessenhorn,http://map.geo.admin.ch/?Y=680275&X=175850&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2340,NE,1,"1 (2, 2)",2,March,1,45,48.9852468,Backcountry touring,46.72901224,8.48882663
2014/15,3/28/15,VS,Bourg-Saint-Pierre,"Mont V_lan, couloir Hannibal",http://map.geo.admin.ch/?Y=584900&X=82450&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3500,W,1,"1 (1, 0)",2,March,1,270,269.0838907,Backcountry touring,45.89349319,7.244109889
2014/15,3/27/15,VS,Evolène,Petit Col de Charmotane,http://map.geo.admin.ch/?Y=602523&X=92680&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3180,SE,1,"1 (6, 2)",2,March,1,135,137.0663752,Backcountry touring,45.98567873,7.471194742
2014/15,3/3/15,GR,Samnaun,Piz Munschuns,http://map.geo.admin.ch/?Y=823610&X=206380&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2550,N,2,"1 (1, 1)",3,March,1,0,2.658745241,Off-piste skiing/boarding,46.97079367,10.37777757
2014/15,2/21/15,VS,Bourg-Saint-Pierre,Combe des Morts,http://map.geo.admin.ch/?Y=579580&X=79582&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2500,N,1,"4 (5, 4)",2,February,4,0,2.898082008,Backcountry touring,45.86755557,7.175698601
2014/15,2/10/15,GR,Val MŸstair,Piz Daint,http://map.geo.admin.ch/?Y=817368&X=167506&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2590,SW,1,"1 (1, 1)",3,February,1,225,220.8101563,Backcountry touring,46.62341064,10.27730714
2014/15,2/8/15,VS,Staldenried,"Gspon, Breiti",http://map.geo.admin.ch/?Y=636815&X=119280&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2320,N,1,"1 (1, 1)",3,February,1,0,5.78546388,Backcountry touring,46.22395666,7.915788795
2014/15,2/2/15,GR,Disentis / Must_r,Piz las Palas / Val Segnas,http://map.geo.admin.ch/?Y=703820&X=172900&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,1970,NE,2,"1 (1, 1)",3,February,1,45,44.48480582,Off-piste skiing/boarding,46.69922985,8.796129504
2014/15,1/31/15,GR,Seewis im Pr_ttigau,Vilan,http://map.geo.admin.ch/?Y=764710&X=209140&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2340,E,1,"5 (8, 7)",3,January,5,90,96.45866446,Backcountry touring,47.01284509,9.605051488
2014/15,1/31/15,SG,Wildhaus-Alt St. Johann,Hinderrugg,http://map.geo.admin.ch/?Y=741408&X=224215&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2250,W,2,"1 (1, 0)",3,January,1,270,266.7457433,Off-piste skiing/boarding,47.1537836,9.303397296
2014/15,1/31/15,BE,Adelboden,"R_geboldshore, I de Hellere",http://map.geo.admin.ch/?Y=605567&X=143973&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,1980,NW,2,"1 (1, 1)",3,January,1,315,315.8899928,Off-piste skiing/boarding,46.44706872,7.511086255
2014/15,1/31/15,BE,Lauterbrunnen,"Chlys Schilthoren, Tistelwang",http://map.geo.admin.ch/?Y=631452&X=156214&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2380,E,2,"1 (1, 1)",3,January,1,90,91.61508267,Off-piste skiing/boarding,46.55646785,7.848782952
2014/15,1/30/15,BE,Adelboden,Hahnenmoospass,http://map.geo.admin.ch/?Y=604732&X=144872&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,1875,E,2,"1 (1, 1)",3,January,1,90,84.92919594,Off-piste skiing/boarding,46.4551622,7.500228737
