Winter,Date,Canton,Community,Starting zone,url,Elevation (m),Aspect,Activity,"Victims (caught, buried)",Danger- level
2014/15,6-May-15,GR,Lumnezia,Piz Stgir / Alp Diesrut,http://map.geo.admin.ch/?Y=721530&X=165830&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2630,NE,1,"1 (1, 1)",
2014/15,12-Apr-15,VS,Mont-Noble,Pointes des Tsavolires,http://map.geo.admin.ch/?Y=605500&X=112390&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2980,N,1,"2 (4, 4)",2
2014/15,4-Apr-15,GR,Davos,Brämabüel,http://map.geo.admin.ch/?Y=783880&X=184490&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2260,NE,2,"1 (1, 1)",3
2014/15,28-Mar-15,UR,Wassen,Chli Griessenhorn,http://map.geo.admin.ch/?Y=680275&X=175850&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2340,NE,1,"1 (2, 2)",2
2014/15,28-Mar-15,VS,Bourg-Saint-Pierre,"Mont Vélan, couloir Hannibal",http://map.geo.admin.ch/?Y=584900&X=82450&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3500,W,1,"1 (1, 0)",2
2014/15,27-Mar-15,VS,Evolène,Petit Col de Charmotane,http://map.geo.admin.ch/?Y=602523&X=92680&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3180,SE,1,"1 (6, 2)",2
2014/15,3-Mar-15,GR,Samnaun,Piz Munschuns,http://map.geo.admin.ch/?Y=823610&X=206380&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2550,N,2,"1 (1, 1)",3
2014/15,21-Feb-15,VS,Bourg-Saint-Pierre,Combe des Morts,http://map.geo.admin.ch/?Y=579580&X=79582&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2500,N,1,"4 (5, 4)",2
2014/15,10-Feb-15,GR,Val Müstair,Piz Daint,http://map.geo.admin.ch/?Y=817368&X=167506&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2590,SW,1,"1 (1, 1)",3
2014/15,8-Feb-15,VS,Staldenried,"Gspon, Breiti",http://map.geo.admin.ch/?Y=636815&X=119280&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2320,N,1,"1 (1, 1)",3
